koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_disposition
13.57078281,3.3539,511.7,2.64,785.0,89.61,88.4,5854.0,4.406,1.012,12.882,CONFIRMED
7.12594387,3.0014,192.4,1.79,997.0,233.31,47.1,5779.0,4.339,1.087,12.791,CONFIRMED
7.442652004,2.3078,24446.0,15.03,967.0,206.78,835.6,6108.0,4.469,0.956,15.27,FALSE POSITIVE
16.38489988,3.0249,1127.1,2.0,433.0,8.35,28.9,4126.0,4.661,0.615,15.095,CONFIRMED
7.8774163,2.0805,1306.1,2.16,553.0,22.18,38.7,4126.0,4.661,0.615,15.095,CONFIRMED
36.4454001,4.007,1122.3,1.99,332.0,2.88,21.7,4126.0,4.661,0.615,15.095,CONFIRMED
3.728732147,2.683,5226.5,6.02,1023.0,258.34,345.2,5497.0,4.577,0.809,15.523,CONFIRMED
40.4195037,3.362,6256.0,7.51,467.0,11.29,36.9,5446.0,4.507,0.781,15.487,CANDIDATE
2.243380573,1.1196,821.7,1.99,822.0,107.6,38.9,4149.0,4.698,0.564,15.135,CONFIRMED
10.405998015,6.5036,14489.0,11.23,833.0,113.94,745.2,5746.0,4.393,0.924,15.562,FALSE POSITIVE
2.337437946,1.9982,971.2,2.34,1070.0,311.16,82.4,5005.0,4.595,0.765,15.334,CONFIRMED
7.2406612,0.558,556.4,19.45,734.0,68.63,13.7,5005.0,4.595,0.765,15.334,CANDIDATE
3.43591631,3.133,23.2,0.55,1272.0,617.61,8.7,5779.0,4.339,1.087,12.791,CANDIDATE
11.59822233,2.5237,2804.5,2.65,396.0,5.82,71.0,3688.0,4.79,0.473,15.937,CONFIRMED
6.575315881,4.3084,2793.3,5.31,1015.0,251.38,221.1,5992.0,4.415,0.989,15.312,CONFIRMED
7.275040844,7.5377,3001.0,4.86,833.0,113.64,312.1,5485.0,4.556,0.867,15.08,CONFIRMED
19.27153892,2.7594,1219.8,1.93,393.0,5.66,37.1,4077.0,4.702,0.56,15.385,CONFIRMED
10.06524317,1.369,1053.3,1.91,488.0,13.43,30.3,4077.0,4.702,0.56,15.385,CONFIRMED
12.3935651,3.8896,916.6,2.66,677.0,49.68,35.8,5557.0,4.603,0.75,15.505,CONFIRMED
43.84439721,6.802,615.2,2.87,531.0,18.77,83.7,5854.0,4.406,1.012,12.882,CONFIRMED
3.341913228,3.813,725.3,21.55,1032.0,268.67,39.0,5295.0,4.551,0.811,15.629,FALSE POSITIVE
1.626630225,2.1145,1620.6,32.43,1547.0,1355.88,103.6,5735.0,4.41,0.973,15.279,CANDIDATE
2.711504086,3.0099,837.5,3.12,1420.0,960.79,64.5,6214.0,4.442,1.076,15.541,CONFIRMED
7.21203748,4.0491,950.4,3.32,1025.0,260.58,51.5,6214.0,4.442,1.076,15.541,CONFIRMED
14.1798187,2.505,459.9,1.88,711.0,60.35,11.2,5799.0,4.539,0.878,15.727,FALSE POSITIVE
8.47237911,2.7245,1123.5,2.59,751.0,75.44,47.6,5354.0,4.587,0.788,15.339,CONFIRMED
60.4189369,5.039,931.3,2.36,390.0,5.49,20.1,5354.0,4.587,0.788,15.339,CONFIRMED
12.611904345,5.1497,6105.6,7.4,753.0,76.15,277.2,5795.0,4.508,0.919,15.14,CONFIRMED
1.433769925,1.8868,1976.3,46.58,1920.0,3209.29,112.6,6017.0,4.22,1.339,15.122,FALSE POSITIVE
10.31872301,3.836,871.7,28.59,876.0,139.26,38.2,5927.0,4.409,1.06,15.065,FALSE POSITIVE
2.539183147,2.4282,382.1,2.06,1332.0,743.09,38.9,5519.0,4.35,1.062,15.026,CONFIRMED
6.770300385,2.0844,1304.0,2.77,812.0,102.87,50.8,5653.0,4.656,0.679,15.591,CONFIRMED
0.444291966,2.0792,10967.0,27.51,1836.0,2706.26,299.7,5255.0,4.678,0.636,15.748,FALSE POSITIVE
10.181584004,3.5089,5741.1,7.73,812.0,102.91,183.6,5988.0,4.541,0.836,15.657,CANDIDATE
20.06036336,3.3203,1494.7,1.96,361.0,4.0,35.2,3950.0,4.754,0.493,15.954,CONFIRMED
46.1842039,4.758,1394.7,1.83,273.0,1.32,26.0,3950.0,4.754,0.493,15.954,CONFIRMED
23.9800854,5.351,104.0,1.31,649.0,41.94,17.1,5854.0,4.406,1.012,12.882,CONFIRMED
7.82502168,2.186,520.8,1.2,494.0,14.05,15.9,3950.0,4.754,0.493,15.954,CONFIRMED
3.895936525,2.3111,8544.8,7.34,1005.0,241.62,370.8,5557.0,4.592,0.774,15.725,CONFIRMED
22.36646466,5.228,986.8,2.32,536.0,19.45,32.1,5395.0,4.615,0.734,15.583,CONFIRMED
1.625522174,2.38963,7969.0,9.73,1579.0,1467.41,799.7,5539.0,4.322,1.106,15.001,CONFIRMED
19.620346923,2.0038,21725.0,13.6,643.0,40.39,340.5,5710.0,4.492,0.905,15.562,CANDIDATE
7.544039,6.222,322.6,17.47,838.0,116.46,14.2,5657.0,4.567,0.824,15.559,FALSE POSITIVE
9.02930689,3.1449,1019.8,2.57,757.0,77.75,53.9,5349.0,4.526,0.82,15.387,CANDIDATE
10.328035714,7.7915,16918.0,13.28,843.0,119.31,636.8,5627.0,4.359,1.024,15.646,FALSE POSITIVE
143.2063047,8.9302,10566.0,8.9,308.0,2.14,138.8,5485.0,4.556,0.867,15.403,CONFIRMED
6.164876,3.262,55.8,0.79,1021.0,256.35,14.4,5854.0,4.406,1.012,12.882,CONFIRMED
